"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14129",17.9455135869565,92,"Cold",19.1221075268817,31,"Cool",20.8669583333333,247,"Cold",0,0,NA,"2019","ABM"
"14147",20.8114370471014,92,"Cool",22.671622311828,31,"Warm",24.3362083333333,258,"Cool",3,0,NA,"2019","ABM"
"14179",20.9477400362319,92,"Cool",22.8719086021505,31,"Warm",26.494,251,"Warm",56,39,NA,"2019","ABM"
"14197",20.5244491758242,91,"Cool",21.5062284946237,31,"Cool",25.8042083333333,246,"Cool",15,3,1,"2019","ABM"
"14251",22.8722536231884,92,"Warm",24.7896048387097,31,"Warm",27.0179166666667,246,"Warm",49,21,NA,"2019","ABM"
"14254",22.9099035326087,92,"Warm",24.7897231182796,31,"Warm",26.8647083333333,104,"Warm",46,7,NA,"2019","ABM"
"14316",23.5721163949275,92,"Warm",25.839623655914,31,"Warm",28.8089583333333,247,"Warm",50,28,NA,"2019","ABM"
"14317",23.5167273550725,92,"Warm",25.5350524193548,31,"Warm",28.8540416666667,247,"Warm",62,46,NA,"2019","ABM"
"14319",21.4625860507246,92,"Cool",23.4243682795699,31,"Warm",26.3962083333333,251,"Warm",25,2,NA,"2019","ABM"
"14341",22.6562753623188,92,"Warm",24.7972365591398,31,"Warm",27.997375,251,"Warm",59,42,NA,"2019","ABM"
"14355",18.9961920289855,92,"Cool",20.3842392473118,31,"Cool",22.4937916666667,253,"Cool",1,0,NA,"2019","ABM"
"14390",18.5407069746377,92,"Cool",19.5782715053763,31,"Cool",22.557375,104,"Cool",0,0,NA,"2019","ABM"
"14392",19.9512051630435,92,"Cool",21.2805981182796,31,"Cool",23.3012083333333,247,"Cool",1,0,NA,"2019","ABM"
"14410",23.2418878205128,91,"Warm",25.269935483871,31,"Warm",27.982875,252,"Warm",45,21,1,"2019","ABM"
"14413",20.0059057971014,92,"Cool",21.4402755376344,31,"Cool",23.6812083333333,108,"Cool",0,0,NA,"2019","ABM"
"14414",21.7158242753623,92,"Warm",23.3560241935484,31,"Warm",25.6098333333333,251,"Cool",11,0,NA,"2019","ABM"
"14441",20.5979533514493,92,"Cool",22.4584247311828,31,"Warm",25.7300833333333,250,"Cool",21,2,NA,"2019","ABM"
"14442",19.7129682971015,92,"Cool",21.577439516129,31,"Cool",24.8926666666667,246,"Cool",14,2,NA,"2019","ABM"
"14444",21.3884669384058,92,"Cool",23.2942446236559,31,"Warm",25.9495416666667,245,"Cool",10,1,NA,"2019","ABM"
"14450",22.2512133152174,92,"Warm",24.4310551075269,31,"Warm",27.9599166666667,253,"Warm",47,18,NA,"2019","ABM"
"14451",22.9277289377289,91,"Warm",25.002686827957,31,"Warm",27.5962916666667,260,"Warm",41,10,1,"2019","ABM"
"14456",20.647513134058,92,"Cool",22.6262271505376,31,"Warm",26.2359166666667,247,"Cool",27,5,NA,"2019","ABM"
"14461",20.8366195652174,92,"Cool",22.8304623655914,31,"Warm",26.1425833333333,246,"Cool",23,3,NA,"2019","ABM"
"14470",18.1287921195652,92,"Cold",19.5686317204301,31,"Cool",21.58175,258,"Cold",0,0,NA,"2019","ABM"
"14482",21.8780081521739,92,"Warm",23.9375174731183,31,"Warm",26.2605833333333,251,"Cool",26,2,NA,"2019","ABM"
"14484",18.5137264492754,92,"Cool",20.2033413978495,31,"Cool",22.7895,261,"Cool",1,0,NA,"2019","ABM"
"14523",15.1195883152174,92,"Cold",14.9425080645161,31,"Cold",17.7082916666667,259,"Cold",0,0,NA,"2019","ABM"
"14581",22.550196557971,92,"Warm",24.4046962365591,31,"Warm",26.8549166666667,258,"Warm",39,9,NA,"2019","ABM"
"14584",19.0614216485507,92,"Cool",20.7691814516129,31,"Cool",23.702625,258,"Cool",1,0,NA,"2019","ABM"
"14598",24.1010187728938,91,"Warm",26.0962244623656,31,"Warm",28.0476666666667,252,"Warm",55,28,1,"2019","ABM"
"14605",20.0965810688406,92,"Cool",21.6918803763441,31,"Cool",24.2806666666667,251,"Cool",1,0,NA,"2019","ABM"
"14609",24.0899116300366,91,"Warm",26.0505174731183,31,"Warm",27.9207083333333,252,"Warm",57,30,1,"2019","ABM"
"14669",23.9678532608696,92,"Warm",25.8651424731183,31,"Warm",28.1454166666667,252,"Warm",56,25,NA,"2019","ABM"
"14706",20.5979809782609,92,"Cool",22.1275887096774,31,"Cool",25.023,250,"Cool",8,0,NA,"2019","ABM"
"14720",18.6802717391304,92,"Cool",20.2039287634409,31,"Cool",22.952375,252,"Cool",0,0,NA,"2019","ABM"
"14740",19.3362961956522,92,"Cool",20.7692822580645,31,"Cool",22.9156666666667,245,"Cool",0,0,NA,"2019","ABM"
"14800",19.1323292572464,92,"Cool",20.7004045698925,31,"Cool",23.5388333333333,247,"Cool",1,0,NA,"2019","ABM"
"14825",22.4380729166667,92,"Warm",24.7277177419355,31,"Warm",28.1824583333333,247,"Warm",44,8,NA,"2019","ABM"
"14880",16.3297259963768,92,"Cold",17.8936706989247,31,"Cold",20.5116666666667,259,"Cold",0,0,NA,"2019","ABM"
"15004",22.7310244565217,92,"Warm",24.9483024193548,31,"Warm",27.6086875,246,"Warm",61,40,NA,"2019","ABM"
"15020",20.7282626811594,92,"Cool",22.5952432795699,31,"Warm",25.783,250,"Cool",16,1,NA,"2019","ABM"
"15092",19.9748663949275,92,"Cool",21.8388669354839,31,"Cool",25.008375,261,"Cool",6,0,NA,"2019","ABM"
"15240",18.514615942029,92,"Cool",20.3377930107527,31,"Cool",23.4055,259,"Cool",1,0,NA,"2019","ABM"
"15274",21.771714673913,92,"Warm",23.4827137096774,31,"Warm",26.7569166666667,114,"Warm",25,3,NA,"2019","ABM"
"15294",21.0238075181159,92,"Cool",22.8496438172043,31,"Warm",26.3148333333333,260,"Warm",5,1,NA,"2019","ABM"
"15304",18.874375,92,"Cool",20.5832795698925,31,"Cool",23.5875,261,"Cool",1,0,NA,"2019","ABM"
