"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14126",22.4632395833333,92,"Warm",23.8740107526882,31,"Warm",26.2005833333333,184,"Cool",22,1,NA,"2010","VOL"
"14435",19.1520240036232,92,"Cool",20.6144744623656,31,"Cool",22.6120416666667,157,"Cool",0,0,NA,"2010","VOL"
"14443",19.570397192029,92,"Cool",19.8672553763441,31,"Cool",24.9376666666667,184,"Cool",9,0,NA,"2010","VOL"
"14532",19.6151548913043,92,"Cool",21.1076599462366,31,"Cool",22.931125,157,"Cool",0,0,NA,"2010","VOL"
"15215",20.1879429347826,92,"Cool",21.4971586021505,31,"Cool",23.4334166666667,157,"Cool",4,0,NA,"2010","VOL"
"15320",21.2402758152174,92,"Cool",22.7282836021505,31,"Warm",24.75625,157,"Cool",11,0,NA,"2010","VOL"
"15369",21.7173170289855,92,"Warm",22.964186827957,31,"Warm",24.7898333333333,184,"Cool",14,0,NA,"2010","VOL"
"15370",21.0447386775362,92,"Cool",22.1230161290323,31,"Cool",24.3178333333333,184,"Cool",3,0,NA,"2010","VOL"
"15380",19.5557074275362,92,"Cool",20.0682043010753,31,"Cool",22.5540416666667,184,"Cool",0,0,NA,"2010","VOL"
"15571",19.628647192029,92,"Cool",21.0453077956989,31,"Cool",22.8685833333333,105,"Cool",3,0,NA,"2010","VOL"
"15581",19.7052807971014,92,"Cool",20.9484139784946,31,"Cool",23.7616666666667,164,"Cool",2,1,NA,"2010","VOL"
"15787",21.4978573369565,92,"Cool",23.154561827957,31,"Warm",25.5453333333333,157,"Cool",49,22,NA,"2010","VOL"
"15839",17.2113134057971,92,"Cold",17.7807123655914,31,"Cold",23.875,219,"Cool",2,2,NA,"2010","VOL"
"16039",20.861856884058,92,"Cool",21.9702553763441,31,"Cool",25.7066666666667,164,"Cool",6,2,NA,"2010","VOL"
"16040",20.3555208333333,92,"Cool",21.4699731182796,31,"Cool",25.74625,164,"Cool",8,2,NA,"2010","VOL"
"16082",18.3692164855072,92,"Cool",19.7081975806452,31,"Cool",21.270125,157,"Cold",0,0,NA,"2010","VOL"
"16083",19.2325634057971,92,"Cool",20.3018951612903,31,"Cool",25.5441666666667,164,"Cool",5,2,NA,"2010","VOL"
"16094",19.4856702898551,92,"Cool",20.495685483871,31,"Cool",23.5866666666667,164,"Cool",2,1,NA,"2010","VOL"
"16095",19.5578985507246,92,"Cool",20.5640053763441,31,"Cool",24.5066666666667,164,"Cool",2,2,NA,"2010","VOL"
"16096",20.567803442029,92,"Cool",21.6177822580645,31,"Cool",25.65625,164,"Cool",9,2,NA,"2010","VOL"
"16253",19.5167210144928,92,"Cool",20.4377553763441,31,"Cool",25.6395833333333,164,"Cool",5,2,NA,"2010","VOL"
"16347",24.140428442029,92,"Warm",25.5550712365591,31,"Warm",27.559125,184,"Warm",62,17,NA,"2010","VOL"
"16420",20.8810960144928,92,"Cool",22.1974327956989,31,"Cool",24.2791666666667,164,"Cool",9,1,NA,"2010","VOL"
"16422",19.5526449275362,92,"Cool",20.7563306451613,31,"Cool",25.85875,164,"Cool",3,2,NA,"2010","VOL"
"16423",18.7725130718954,85,"Cool",19.7142338709677,31,"Cool",21.88,152,"Cold",2,0,1,"2010","VOL"
"16425",20.4314673912908,92,"Cool",21.7604121863038,31,"Cool",23.96872685125,164,"Cool",10,1,NA,"2010","VOL"
"17338",20.1597599637681,92,"Cool",21.6347540322581,31,"Cool",23.8740833333333,157,"Cool",0,0,NA,"2010","VOL"
