"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14172",19.8904112318841,92,"Cool",20.7720497311828,31,"Cool",23.51025,120,"Cool",0,0,NA,"2018","Vol"
"14355",19.3109202898551,92,"Cool",20.1536693548387,31,"Cool",22.2220416666667,132,"Cold",0,0,NA,"2018","Vol"
"15009",20.117754076087,92,"Cool",20.9416975806452,31,"Cool",24.7335833333333,132,"Cool",10,0,NA,"2018","Vol"
"15012",20.94640625,92,"Cool",22.8069623655914,31,"Warm",25.688125,132,"Cool",7,1,NA,"2018","Vol"
"15025",20.7642744565217,92,"Cool",22.3801908602151,31,"Warm",24.816875,142,"Cool",6,0,NA,"2018","Vol"
"15239",21.6080942028986,92,"Cool",22.013314516129,31,"Cool",24.85275,165,"Cool",13,0,NA,"2018","Vol"
"15388",21.0523985507246,92,"Cool",22.6395551075269,31,"Warm",24.9647083333333,132,"Cool",8,0,NA,"2018","Vol"
"15581",20.5406462862319,92,"Cool",21.6255430107527,31,"Cool",23.8759166666667,120,"Cool",4,0,NA,"2018","Vol"
"15592",19.4750348731884,92,"Cool",20.432063172043,31,"Cool",22.8954583333333,285,"Cool",0,0,NA,"2018","Vol"
"15839",17.3568297101449,92,"Cold",17.8770430107527,31,"Cold",21.7425,120,"Cold",3,1,NA,"2018","Vol"
"16039",20.6586761775362,92,"Cool",21.8086290322581,31,"Cool",24.3534583333333,120,"Cool",4,0,NA,"2018","Vol"
"16083",19.5701530797101,92,"Cool",20.5402688172043,31,"Cool",22.884625,120,"Cool",0,0,NA,"2018","Vol"
"16094",20.1694923007246,92,"Cool",21.1060255376344,31,"Cool",23.3987083333333,120,"Cool",1,0,NA,"2018","Vol"
"16095",20.2953867753623,92,"Cool",21.2443467741935,31,"Cool",23.552,120,"Cool",0,0,NA,"2018","Vol"
"16266",18.8902690217391,92,"Cool",19.7673172043011,31,"Cool",25.0059166666667,285,"Cool",7,0,NA,"2018","Vol"
"16333",18.2446911231884,92,"Cold",19.1855067204301,31,"Cool",22.7938333333333,142,"Cool",3,0,NA,"2018","Vol"
"16420",20.949375,92,"Cool",22.1998655913978,31,"Cool",24.0804166666667,120,"Cool",6,0,NA,"2018","Vol"
"16431",18.9234311594203,92,"Cool",20.1775188172043,31,"Cool",22.3587916666667,132,"Cold",0,0,NA,"2018","Vol"
"17321",19.6945575181159,92,"Cool",20.9374543010753,31,"Cool",23.1757916666667,132,"Cool",4,0,NA,"2018","Vol"
"17567",21.149888134058,92,"Cool",22.2077244623656,31,"Cool",25.114375,143,"Cool",17,0,NA,"2018","Vol"
"17571",21.1394528985507,92,"Cool",22.2695712365591,31,"Cool",25.2733333333333,146,"Cool",34,5,NA,"2018","Vol"
"17808",18.3904701086957,92,"Cool",19.4337379032258,31,"Cool",21.5960833333333,185,"Cold",1,0,NA,"2018","Vol"
"17971",21.9934782608696,92,"Warm",23.2137352150538,31,"Warm",25.796375,285,"Cool",19,3,NA,"2018","Vol"
"18433",22.5653532608696,92,"Warm",24.0278629032258,31,"Warm",26.75,251,"Warm",60,34,NA,"2018","Vol"
"18821",18.5109116847826,92,"Cool",19.4390456989247,31,"Cool",21.583875,285,"Cold",0,0,NA,"2018","Vol"
"18981",19.8416757246377,92,"Cool",20.701438172043,31,"Cool",23.3591666666667,251,"Cool",2,0,NA,"2018","Vol"
"18982",22.3130661231884,92,"Warm",23.4267069892473,31,"Warm",25.7741666666667,251,"Cool",29,0,NA,"2018","Vol"
"19049",18.9867685688406,92,"Cool",20.0418588709677,31,"Cool",21.8065833333333,132,"Cold",9,3,NA,"2018","Vol"
"19187",20.0265557065217,92,"Cool",21.3960725806452,31,"Cool",24.18475,185,"Cool",2,0,NA,"2018","Vol"
"19495",22.0181213768116,92,"Warm",22.9729663978495,31,"Warm",25.4807916666667,165,"Cool",20,0,NA,"2018","Vol"
"19705",17.9978500905797,92,"Cold",18.8284717741935,31,"Cool",21.3698333333333,285,"Cold",0,0,NA,"2018","Vol"
"19749",21.0389811507937,84,"Cool",21.795248655914,31,"Cool",24.6135416666667,152,"Cool",14,2,1,"2018","Vol"
"19942",20.9227744565217,92,"Cool",21.9590255376344,31,"Cool",24.6916666666667,143,"Cool",12,0,NA,"2018","Vol"
"20049",21.677660326087,92,"Cool",22.6895430107527,31,"Warm",25.3779583333333,165,"Cool",16,0,NA,"2018","Vol"
"20055",22.2213351449275,92,"Warm",22.9928602150538,31,"Warm",27.3674583333333,189,"Warm",35,14,NA,"2018","Vol"
