"STA_SEQ","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector","Station_ID_1","ADB_SegmentID","Station_Name","Proximity_Landmark","Municipality_Name","State_Name","SUB_BAS_SEQ_Name","YLat","XLong","LU_StationType_SEQ"
14129,17.9455135869565,92,"Cold",19.1221075268817,31,"Cool",20.8669583333333,247,"Cold",0,0,NA,2019,"ABM",4,"CT6918-00_01","Beacon Hill Brook","at Andrasko Road","BEACON FALLS","Connecticut","6918 - Beacon Hill Brook - Naugatuck - Housatonic",41.4684,-73.0501,"River/Stream"
14147,20.8114370471014,92,"Cool",22.671622311828,31,"Warm",24.3362083333333,258,"Cool",3,0,NA,2019,"ABM",22,"CT4206-00_01","Broad Brook","upstream USGS gage at Route 191","EAST WINDSOR","Connecticut","4206 - Broad Brook - Scantic - Connecticut",41.9147,-72.549,"River/Stream"
14179,20.9477400362319,92,"Cool",22.8719086021505,31,"Warm",26.494,251,"Warm",56,39,NA,2019,"ABM",54,"CT6905-00_01","East Branch Naugatuck River","downstream Franklin Drive","TORRINGTON","Connecticut","6905 - East Branch Naugatuck River - Naugatuck - Housatonic",41.797345,-73.115842,"River/Stream"
14197,20.5244491758242,91,"Cool",21.5062284946237,31,"Cool",25.8042083333333,246,"Cool",15,3,1,2019,"ABM",72,"CT4300-00_03","FARMINGTON RIVER","adjacent Route 4 at Apricots Restaurant","FARMINGTON","Connecticut","4300 - Farmington River - Farmington - Connecticut",41.7508,-72.8717,"River/Stream"
14251,22.8722536231884,92,"Warm",24.7896048387097,31,"Warm",27.0179166666667,246,"Warm",49,21,NA,2019,"ABM",126,"CT6000-00_06","Housatonic River","at dirt road North of Route 128","CORNWALL","Connecticut","6000 - Housatonic River - Housatonic Main Stem - Housatonic",41.8806,-73.3654,"River/Stream"
14254,22.9099035326087,92,"Warm",24.7897231182796,31,"Warm",26.8647083333333,104,"Warm",46,7,NA,2019,"ABM",129,"CT6000-00_06","Housatonic River","North 1.5 miles Route 128","CORNWALL","Connecticut","6000 - Housatonic River - Housatonic Main Stem - Housatonic",41.8906,-73.3576,"River/Stream"
14316,23.5721163949275,92,"Warm",25.839623655914,31,"Warm",28.8089583333333,247,"Warm",50,28,NA,2019,"ABM",191,"CT6900-00_05","Naugatuck River","""Frost Bridge"" - upstream Frost Bridge Echo Lake Rd and Route 262","WATERTOWN","Connecticut","6900 - Naugatuck River - Naugatuck - Housatonic",41.6159,-73.0579,"River/Stream"
14317,23.5167273550725,92,"Warm",25.5350524193548,31,"Warm",28.8540416666667,247,"Warm",62,46,NA,2019,"ABM",192,"CT6900-00_02","Naugatuck River","behind Fire Station","BEACON FALLS","Connecticut","6900 - Naugatuck River - Naugatuck - Housatonic",41.4435,-73.0642,"River/Stream"
14319,21.4625860507246,92,"Cool",23.4243682795699,31,"Warm",26.3962083333333,251,"Warm",25,2,NA,2019,"ABM",194,"CT6900-00_06","Naugatuck River","upstream falls at Campville Road","HARWINTON","Connecticut","6900 - Naugatuck River - Naugatuck - Housatonic",41.7361,-73.1054,"River/Stream"
14341,22.6562753623188,92,"Warm",24.7972365591398,31,"Warm",27.997375,251,"Warm",59,42,NA,2019,"ABM",216,"CT6900-00_08","Naugatuck River","at Palmer Bridge Street","TORRINGTON","Connecticut","6900 - Naugatuck River - Naugatuck - Housatonic",41.7891,-73.1145,"River/Stream"
