STA_SEQ,WaterbodyName,Description,ylat,xlong,munName,subBasin,adbSegID,stationsCommentTxt,lastUpdateDate
14126,Aspetuck River,Downstream Bayberry Lane,41.1864,-73.3429,WESTPORT,7202,CT7202-00_01,Initial Site Number=186 or alias of =AR-2//site comments:Small size stream with deep pool downstream of bridge and narrow riffle/run upstream of bridge.,10/5/2021
14127,Bantam River,upstream Morris Hill Road/Stoddard Road,41.7122,-73.2457,LITCHFIELD,6705,CT6705-00_02,"Initial Site Number=150 or alias of =BN-67//site comments:Samples collected for toxicity evaluation, a single NQ benthic sample collected here.  Quarterly samples collected here.",11/12/2015
14128,Bantam River,downstream Smokey Hollow Road,41.6884,-73.2668,MORRIS,6705,CT6705-00_01,Initial Site Number=168 or alias of =//site comments:Benthic monitoring location.,10/5/2021
14129,Beacon Hill Brook,at Andrasko Road,41.4684,-73.0501,BEACON FALLS,6918,CT6918-00_01,"Initial Site Number=NR30C or alias of =NR5A,5-003//site comments:Field measures for naugatuck river survey taken at mouth on opposite side of the highway from benthic site.",12/27/2021
14130,Beaver Pond Brook,upstream Harper Ferry Road,41.5393,-73.0077,WATERBURY,6913,6913-00-2-R3,Initial Site Number=101 or alias of =6//site comments:Site added as part of a 1-day benthic RBP I protocol assessment,12/27/2021
14131,Belcher Brook,upstream Elizabeth Road,41.5932,-72.7662,BERLIN,4601,CT4601-00_01,Initial Site Number=102 or alias of =//site comments:,3/12/2010
14132,Blackberry River,upstream Route 44 Bridge,42.0236,-73.341,NORTH CANAAN,6100,CT6100-00_02a,Initial Site Number=37 or alias of =BL-61//site comments:,3/12/2010
14133,Blackberry River,upstream POTW effluent,42.0007,-73.2184,NORFOLK,6100,CT6100-00_05,Initial Site Number=BR1 or alias of =//site comments:,3/12/2010
14134,Blackberry River,downstream 50ft POTW effluent,42.0009,-73.2193,NORFOLK,6100,CT6100-00_04,Initial Site Number=BR2 or alias of =//site comments:,3/12/2010
14135,Blackberry River,downstream 75ft POTW effluent,42.0009,-73.2196,NORFOLK,6100,CT6100-00_04,Initial Site Number=BR3 or alias of =//site comments:,3/12/2010
14136,Blackberry River,downstream 200ft POTW effluent,42.0012,-73.2204,NORFOLK,6100,CT6100-00_04,Initial Site Number=BR4 or alias of =//site comments:,3/12/2010
14137,Blackledge River,US Confluence with Lyman Brook (upstream South Main St.),41.6084,-72.4263,MARLBOROUGH,4707,CT4707-00_01,Initial Site Number=103 or alias of =//site comments:Park at pulloff and walk upstream until the confluence with Lyman Brook (West Bank) SRWP RBV site 2012,10/5/2021
14138,Bladens River (Bladdens River),under Route 8 & Route 67 junction,41.3972,-73.0718,SEYMOUR,6919,CT6919-00_01,"Initial Site Number=151 or alias of =BL-69,11243,5-008//site comments:Park in factory lot directly over river, walk across rte 67 to mouth.",10/5/2021
14139,Bladens River (Bladdens River),downstream North Road/Pearl St.,41.3958,-73.0608,SEYMOUR,6919,CT6919-00_01,Initial Site Number=152 or alias of =//site comments:,2/21/2017
14140,Bolton Notch Pond,In Bolton Notch Pond,41.7894,-72.4525,BOLTON,4503,NOSEG,Initial Site Number=BN1 or alias of =BN1//site comments:sediment collection station,3/12/2010
14141,Bonemill Brook,upstream 100 m Sweetheart Lake,41.9249,-72.3162,TOLLAND,3100,CT3100-03_02,Initial Site Number=104 or alias of =//site comments:,12/27/2021
14142,Bonemill Brook,between Plains Road and RR crossing,41.9272,-72.3069,TOLLAND,3100,CT3100-03_01,Initial Site Number=105 or alias of =//site comments:,4/18/2011
14143,Branch Brook,upstream Route 8 pipe,41.648,-73.0822,THOMASTON,6910,CT6910-00_01,Initial Site Number=BB1 or alias of =//site comments:,3/12/2010
14144,Branch Brook,downstream Route 8 pipe,41.6478,-73.0814,THOMASTON,6910,CT6910-00_01,Initial Site Number=BB2 or alias of =//site comments:,3/12/2010
14145,Branch Brook,downstream POTW near mouth,41.6434,-73.081,WATERTOWN,6910,CT6910-00_01,Initial Site Number=BB3 or alias of =BR-69//site comments:,3/12/2010
14146,Branford River,downstream bridge off Valley Road,41.3072,-72.7648,NORTH BRANFORD,5111,CT5111-00_02,Initial Site Number=172 or alias of =//site comments:,10/5/2021
14147,Broad Brook,upstream USGS gage at Route 191,41.9147,-72.549,EAST WINDSOR,4206,CT4206-00_01,Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle,10/5/2021
14148,Bunnell Brook,upstream 500 meters USGS gage,41.7846,-72.9657,BURLINGTON,4311,CT4311-00_01,Initial Site Number=19 or alias of =//site comments:On water company property,3/12/2010
14149,Byram River,downstream Bedford Road,41.094506,-73.704449,GREENWICH,7411,CT7411-00_02,Initial Site Number=107 or alias of =//site comments:,10/5/2021
14150,Byram River,downstream Comley Avenue,41.0276,-73.6621,GREENWICH,7411,CT7411-00_01,"Initial Site Number=59, CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank",10/5/2021
14151,Cedar Swamp Brook,upstream Porter Pond Road,41.6731,-71.8274,STERLING,3500,NOSEG,Initial Site Number=WR2 or alias of =//site comments:site sampled as part of the mutant frog cause project,11/12/2015
