"Date_Time","Temp","UOM","ProbeID","SID","Collector","ProbeType"
"06/28/23 00:00:00",20.126,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 01:00:00",19.984,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 02:00:00",19.888,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 03:00:00",19.817,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 04:00:00",19.77,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 05:00:00",19.722,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 06:00:00",19.674,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 07:00:00",19.627,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 08:00:00",19.603,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 09:00:00",19.603,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 10:00:00",19.579,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 11:00:00",19.651,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 12:00:00",19.77,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 13:00:00",19.912,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 14:00:00",20.174,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 15:00:00",20.531,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 16:00:00",20.77,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 17:00:00",20.936,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 18:00:00",21.032,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 19:00:00",20.913,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 20:00:00",20.698,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 21:00:00",20.484,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 22:00:00",20.317,"deg C","21109931","20856","ABM","HOBO"
"06/28/23 23:00:00",20.15,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 00:00:00",20.007,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 01:00:00",19.888,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 02:00:00",19.746,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 03:00:00",19.579,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 04:00:00",19.389,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 05:00:00",19.199,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 06:00:00",19.032,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 07:00:00",18.937,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 08:00:00",18.985,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 09:00:00",19.103,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 10:00:00",19.341,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 11:00:00",19.722,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 12:00:00",20.103,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 13:00:00",20.627,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 14:00:00",21.103,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 15:00:00",21.342,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 16:00:00",21.509,"deg C","21109931","20856","ABM","HOBO"
"06/29/23 17:00:00",21.39,"deg C","21109931","20856","ABM","HOBO"
